"transaction_id,order_date,product_id,store_id,customer_id,quantity,discount,returned"
"T0000001,2023-02-08,P004681,S004,C010043,3,0.0,0"
"T0000002,,P006662,S003,C022472,1,0.0,0"
"T0000003,,P043402,S005,C016135,4,0.0,0"
"T0000004,,P029875,S003,C005605,3,0.0,1"
"T0000005,,P002476,S003,C005857,4,0.0,0"
"T0000006,,P029990,S005,C008363,3,0.1,0"
"T0000007,2021-02-04,P012742,S004,C009301,4,0.0,0"
"T0000008,2020-12-10,P013477,S003,C000971,1,0.2,0"
"T0000009,,P009924,S004,C009786,1,0.0,0"
"T0000010,,P017086,S002,C013109,4,0.0,1"
"T0000012,,P020432,S003,C015117,2,0.2,0"
"T0000013,,P039287,S004,C003825,1,0.0,0"
"T0000014,,P035161,S004,C000260,4,0.0,0"
"T0000015,,P004069,S003,C003101,2,0.1,0"
"T0000016,,P045344,S001,C013538,4,0.2,1"
"T0000017,2020-06-03,P023494,S002,C020786,4,0.0,0"
"T0000020,,P027083,S002,C010490,3,0.0,0"
"T0000021,,P001095,S005,C015618,3,0.0,0"
"T0000022,,P038967,S004,C000704,1,0.1,0"
"T0000023,,P029378,S004,C014336,4,0.0,0"
"T0000024,,P034054,S001,C024799,1,0.0,0"
"T0000025,,P020684,S003,C006404,1,0.0,0"
"T0000026,2021-11-02,P009765,S002,C010101,1,0.0,1"
"T0000027,2024-06-01,P001916,S004,C024847,4,0.0,0"
"T0000028,,P004993,S002,C013077,3,0.0,0"
"T0000029,2023-07-12,P035487,S002,C002945,4,0.1,0"
"T0000030,,P025703,S005,C017670,2,0.0,1"
"T0000031,2022-09-05,P023373,S003,C014849,4,0.1,1"
"T0000032,,P024763,S001,C018314,1,0.3,0"
"T0000033,2022-08-07,P040513,S004,C021637,4,0.0,0"
"T0000034,,P023648,S004,C010896,1,0.1,0"
"T0000035,,P000480,S001,C001121,2,0.0,0"
"T0000036,,P043501,S003,C014784,3,0.1,0"
"T0000037,,P005758,S001,C016638,3,0.0,0"
"T0000038,,P019343,S004,C018290,2,0.0,0"
"T0000039,2024-03-04,P002932,S003,C022632,1,0.0,0"
"T0000040,2024-08-07,P048802,S001,C014964,4,0.0,0"
"T0000041,,P011609,S002,C007200,3,0.0,0"
"T0000042,,P001126,S004,C021434,3,0.0,0"
"T0000043,,P001066,S005,C023088,1,0.0,0"
"T0000044,,P022170,S001,C024256,3,0.0,0"
"T0000045,,P021385,S005,C017185,3,0.0,0"
"T0000046,,P044712,S004,C000683,3,0.0,0"
"T0000047,,P025344,S003,C021202,1,0.0,0"
"T0000048,2024-12-04,P042729,S003,C015450,2,0.0,1"
"T0000049,,P025948,S005,C004385,3,0.1,0"
"T0000050,,P023585,S003,C005163,3,0.1,0"
"T0000051,2020-08-07,P023652,S001,C013359,4,0.1,0"
"T0000052,,P015414,S005,C005907,4,0.2,1"
"T0000053,,P043429,S001,C008620,2,0.0,0"
"T0000054,2022-05-01,P029008,S002,C018231,3,0.1,0"
"T0000055,2024-01-10,P016877,S004,C012894,2,0.2,0"
"T0000057,,P049276,S002,C009237,1,0.0,0"
"T0000058,,P005314,S005,C001836,1,0.3,0"
"T0000059,2024-10-07,P041745,S004,C018250,3,0.1,0"
"T0000060,,P016059,S002,C013209,2,0.1,0"
"T0000061,2024-03-02,P011135,S002,C010999,1,0.0,0"
"T0000062,,P017159,S004,C014217,3,0.2,0"
"T0000063,2023-03-01,P014455,S005,C016297,4,0.0,0"
"T0000064,2020-12-09,P026359,S003,C010093,1,0.0,0"
"T0000065,,P039116,S002,C000365,2,0.0,0"
"T0000066,2020-10-06,P021864,S004,C022174,2,0.3,0"
"T0000067,2023-04-02,P024326,S001,C024711,1,0.0,0"
"T0000068,,P040214,S004,C020319,1,0.0,0"
